model_type,Transformer_adapter_cl_bp_dynamic,0,0,0,0,0,0,0
16,32,32,768,16,768,1,0,"BP:weight_outputProjection,"
32,16,16,768,32,768,1,0,"W Gradient:weight_adapter2-2,"
16,768,768,32,16,32,1,0,"BP:weight_adapter2-2,"
768,16,16,32,768,32,1,0,"W Gradient:adapter2-1,"
16,32,32,768,16,768,1,0,"BP:weight_adapter2-1,"
16,768,768,3072,16,3072,0,0,"BP:weight_ff2,"
16,3072,3072,768,16,768,0,0,"BP:weight_ff1,"
3072,16,16,768,3072,768,1,0,"W Gradient:weight_adapter1-2,"
16,768,768,32,16,32,1,0,"BP:weight_adapter1-2,"
768,16,16,32,768,32,1,0,"W Gradient:weight_adapter1-1,"
16,32,32,768,16,768,1,0,"BP:weight_adapter1-1,"
16,768,768,768,16,768,0,0,"BP:weight_headContact,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,768,768,768,16,768,0,0,"BP:weight_kProjection,"
768,16,16,768,768,768,1,0,"W Gradient:weight_adapter2-2,"
16,768,768,32,16,32,1,0,"BP:weight_adapter2-2,"
768,16,16,32,768,32,1,0,"W Gradient:adapter2-1,"
16,32,32,768,16,768,1,0,"BP:weight_adapter2-1,"
16,768,768,3072,16,3072,0,0,"BP:weight_ff2,"
16,3072,3072,768,16,768,0,0,"BP:weight_ff1,"
3072,16,16,768,3072,768,1,0,"W Gradient:weight_adapter1-2,"
16,768,768,32,16,32,1,0,"BP:weight_adapter1-2,"
768,16,16,32,768,32,1,0,"W Gradient:weight_adapter1-1,"
16,32,32,768,16,768,1,0,"BP:weight_adapter1-1,"
16,768,768,768,16,768,0,0,"BP:weight_headContact,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,768,768,768,16,768,0,0,"BP:weight_kProjection,"
768,16,16,768,768,768,1,0,"W Gradient:weight_adapter2-2,"
16,768,768,32,16,32,1,0,"BP:weight_adapter2-2,"
768,16,16,32,768,32,1,0,"W Gradient:adapter2-1,"
16,32,32,768,16,768,1,0,"BP:weight_adapter2-1,"
16,768,768,3072,16,3072,0,0,"BP:weight_ff2,"
16,3072,3072,768,16,768,0,0,"BP:weight_ff1,"
3072,16,16,768,3072,768,1,0,"W Gradient:weight_adapter1-2,"
16,768,768,32,16,32,1,0,"BP:weight_adapter1-2,"
768,16,16,32,768,32,1,0,"W Gradient:weight_adapter1-1,"
16,32,32,768,16,768,1,0,"BP:weight_adapter1-1,"
16,768,768,768,16,768,0,0,"BP:weight_headContact,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,64,64,16,16,16,1,0,"BP:V,"
16,16,16,64,16,64,1,0,"BP:Q,"
16,768,768,768,16,768,0,0,BP:weight_kProjection
